woloxer_id,month,amount_of_messages,sentiment
U3AK756HH,2017-01,103,0.6055999994
U3AK756HH,2017-03,123,0.6008058786
U3AK756HH,2017-02,327,0.4887548685
U3AK756HH,2016-12,29,0.1852626652
U3AK756HH,2017-06,147,0.6588722467
U3AK756HH,2017-04,41,0.7188526988
U3AK756HH,2017-05,95,0.304897368
U3AK756HH,2017-07,24,0.3867082
U0A8V8HPF,2016-09,9,0.8323636651
U0A8V8HPF,2016-08,8,0.4128229618
U0A8V8HPF,2016-07,17,0.4977031052
U0A8V8HPF,2016-06,42,0.8021055460000001
U0A8V8HPF,2017-04,2,0.77568537
U0A8V8HPF,2016-01,5,0.1082506627
U0A8V8HPF,2015-12,2,0.2433358729
U0A8V8HPF,2016-02,2,0.039537549000000005
U0A8V8HPF,2016-04,1,0.4783090055
U0A8V8HPF,2017-01,2,0.9423919916000001
U04U5LE3S,2016-08,145,0.4521789551
U04U5LE3S,2017-05,105,0.5843855143000001
U04U5LE3S,2016-06,138,0.3430667818
U04U5LE3S,2016-07,122,0.2916581929
U04U5LE3S,2016-05,135,0.2142894566
U04U5LE3S,2016-11,93,0.4727346301
U04U5LE3S,2016-09,95,0.27462935450000003
U04U5LE3S,2017-02,135,0.45704573390000003
U04U5LE3S,2017-03,93,0.8387251496
U04U5LE3S,2016-10,53,0.1896113753
U04U5LE3S,2016-12,97,0.324875474
U04U5LE3S,2017-01,109,0.5617776513
U04U5LE3S,2017-04,123,0.4223122895
U04U5LE3S,2017-06,83,0.1616607755
U04U5LE3S,2015-11,40,0.34357196090000003
U04U5LE3S,2016-03,107,0.2495654821
U04U5LE3S,2015-06,7,0.1550735235
U04U5LE3S,2015-07,6,0.3853114843
U04U5LE3S,2016-04,103,0.23899337650000002
U04U5LE3S,2016-02,63,0.2707589865
U04U5LE3S,2016-01,12,0.7176940441
U04U5LE3S,2015-10,8,0.6741351485
U04U5LE3S,2015-09,1,0.754460156
U04U5LE3S,2015-12,22,0.2826038003
U04U5LE3S,2015-08,4,0.8645859957
U04U5LE3S,2017-07,2,0.6749134064
U04U2GZK5,2016-08,200,0.6665775776
U04U2GZK5,2016-07,179,0.9291543961000001
U04U2GZK5,2016-06,183,0.20259153840000002
U04U2GZK5,2016-09,211,0.6976000071
U04U2GZK5,2017-05,204,0.2410618216
U04U2GZK5,2016-11,149,0.9423155785
U04U2GZK5,2017-04,176,0.7142290473
U04U2GZK5,2016-10,139,0.8190715909
U04U2GZK5,2017-03,133,0.7200689912
U04U2GZK5,2016-05,214,0.7530827522
U04U2GZK5,2017-01,156,0.6114471555000001
U04U2GZK5,2017-06,157,0.35774073
U04U2GZK5,2016-12,97,0.7411159277
U04U2GZK5,2016-04,244,0.5486132503
U04U2GZK5,2016-01,42,0.7433285713000001
U04U2GZK5,2015-12,26,0.2742586732
U04U2GZK5,2017-02,97,0.3194665909
U04U2GZK5,2016-03,147,0.6688603163
U04U2GZK5,2017-07,37,0.37380334730000003
U04U2GZK5,2016-02,97,0.49456864600000006
U04U2GZK5,2015-11,48,0.7820934057000001
U04U2GZK5,2015-09,36,0.4118258953
U04U2GZK5,2015-10,32,0.4213923216
U04U2GZK5,2015-08,32,0.0762076378
U0KUY2AQZ,2016-08,86,0.6772502661
U0KUY2AQZ,2016-06,36,0.44044607880000003
U0KUY2AQZ,2017-05,50,0.35980823640000004
U0KUY2AQZ,2016-07,48,0.1127730757
U0KUY2AQZ,2016-09,113,0.5981041789
U0KUY2AQZ,2017-03,111,0.8784812689
U0KUY2AQZ,2017-01,89,0.6727098823000001
U0KUY2AQZ,2016-11,111,0.3412176669
U0KUY2AQZ,2016-12,72,0.5974186063
U0KUY2AQZ,2016-10,37,0.3790577948
U0KUY2AQZ,2017-06,76,0.83142066
U0KUY2AQZ,2017-04,53,0.5812672973
U0KUY2AQZ,2017-02,149,0.7719159126
U0KUY2AQZ,2016-05,18,0.44785052540000003
U0KUY2AQZ,2016-02,7,0.1306708902
U0KUY2AQZ,2016-04,21,0.2498908937
U0KUY2AQZ,2016-03,6,0.8164706230000001
U0KUY2AQZ,2017-07,38,0.30939829350000003
U0EK9BJR3,2016-09,45,0.7047220469000001
U0EK9BJR3,2016-07,3,0.0440743044
U0EK9BJR3,2016-06,15,0.7389753461
U0EK9BJR3,2016-05,5,0.42962098120000003
U0EK9BJR3,2016-08,3,0.7232179642000001
U0EK9BJR3,2016-04,7,0.3547419906
U0EK9BJR3,2016-01,3,0.8421767354
U0EK9BJR3,2015-12,9,0.6226606369000001
U0EK9BJR3,2017-06,4,0.5627231598
U0EK9BJR3,2016-12,24,0.9960586429
U0EK9BJR3,2016-02,6,0.8943763971
U0EK9BJR3,2017-04,2,0.6636124849
U0EK9BJR3,2016-10,8,0.8646567464
U0EK9BJR3,2016-11,5,0.9690434337
U0EK9BJR3,2017-01,4,0.3316601813
U0EK9BJR3,2016-03,3,0.30191880460000003
U0EK9BJR3,2017-02,6,0.0551546663
U0EK9BJR3,2017-05,2,0.9323214889
U2D6QDMNJ,2017-05,9,0.5401905179000001
U2D6QDMNJ,2017-02,34,0.308386296
U2D6QDMNJ,2017-03,11,0.6437115073
U2D6QDMNJ,2017-04,9,0.6903744936
U2D6QDMNJ,2016-12,11,0.4726032019
U2D6QDMNJ,2016-11,12,0.6383913755
U2D6QDMNJ,2017-06,7,0.6218516827
U2D6QDMNJ,2017-01,12,0.8813101649
U2D6QDMNJ,2016-09,1,0.9815893769
U2D6QDMNJ,2017-07,3,0.3582541347
U0KUYE44Q,2016-06,25,0.0129866954
U0KUYE44Q,2017-02,176,0.1241841838
U0KUYE44Q,2017-03,70,0.4102288485
U0KUYE44Q,2016-11,137,0.4047673047
U0KUYE44Q,2017-04,99,0.7689034343000001
U0KUYE44Q,2017-05,73,0.7547160983000001
U0KUYE44Q,2017-01,104,0.0982895419
U0KUYE44Q,2016-09,132,0.22296527030000002
U0KUYE44Q,2016-10,82,0.2927066088
U0KUYE44Q,2017-07,24,0.0767040253
U0KUYE44Q,2016-08,89,0.5757367015
U0KUYE44Q,2016-12,182,0.1831991673
U0KUYE44Q,2017-06,60,0.34033936260000003
U0KUYE44Q,2016-07,44,0.2426330894
U0KUYE44Q,2016-05,21,0.09363000090000001
U0KUYE44Q,2016-04,18,0.2036201656
U0KUYE44Q,2016-03,4,0.2025027573
U0KUYE44Q,2016-02,4,0.6308693886
U0M7Z0W22,2016-06,67,0.8226293325
U0M7Z0W22,2016-09,28,0.9668101668
U0M7Z0W22,2016-07,38,0.3330553174
U0M7Z0W22,2016-10,69,0.4663201272
U0M7Z0W22,2017-01,52,0.813559413
U0M7Z0W22,2017-03,49,0.9586146474
U0M7Z0W22,2017-05,19,0.9202296138
U0M7Z0W22,2017-04,37,0.6814628839
U0M7Z0W22,2016-03,13,0.5354093313
U0M7Z0W22,2016-02,6,0.9284700155000001
U0M7Z0W22,2016-11,41,0.9448629618000001
U0M7Z0W22,2017-02,85,0.9732579589
U0M7Z0W22,2016-05,16,0.4726587236
U0M7Z0W22,2016-04,22,0.5958890319
U0M7Z0W22,2017-06,70,0.6150245667
U0M7Z0W22,2016-12,64,0.9100427032
U0M7Z0W22,2016-08,19,0.4315961897
U0M7Z0W22,2017-07,9,0.48888096210000004
U02FAGYAV,2016-06,111,0.05681495
U02FAGYAV,2016-10,90,0.6735833883
U02FAGYAV,2017-05,74,0.7163365483
U02FAGYAV,2016-12,107,0.478135258
U02FAGYAV,2017-01,198,0.0970560163
U02FAGYAV,2016-08,107,0.3121236563
U02FAGYAV,2017-06,88,0.5724511743
U02FAGYAV,2016-11,77,0.2528854907
U02FAGYAV,2016-09,76,0.1649221778
U02FAGYAV,2017-02,182,0.40623447300000004
U02FAGYAV,2017-04,123,0.5152530074
U02FAGYAV,2017-03,103,0.7159841657
U02FAGYAV,2016-05,185,0.6181428432
U02FAGYAV,2016-07,75,0.6418815255
U02FAGYAV,2017-07,22,0.6865085363
U02FAGYAV,2016-04,104,0.6087813377
U02FAGYAV,2015-06,14,0.2920957208
U02FAGYAV,2016-03,42,0.17047415670000002
U02FAGYAV,2015-09,6,0.9945266843
U02FAGYAV,2015-12,11,0.7402172089
U02FAGYAV,2014-09,11,0.6778815389
U02FAGYAV,2014-08,1,0.0971353799
U02FAGYAV,2015-07,14,0.8814519048
U02FAGYAV,2014-12,4,0.401432544
U02FAGYAV,2016-01,38,0.27978605030000003
U02FAGYAV,2015-04,6,0.8313788772
U02FAGYAV,2014-10,2,0.6477305889
U02FAGYAV,2015-08,11,0.22560529410000002
U02FAGYAV,2015-03,2,0.6326106191
U02FAGYAV,2015-05,6,0.9401056170000001
U02FAGYAV,2015-02,1,0.8995139599
U02FAGYAV,2014-11,3,0.31061518190000004
U02FAGYAV,2015-11,3,0.12264420840000001
U02FAGYAV,2016-02,1,0.4783090055
U02FAGYAV,2015-10,1,0.5633968115
U0KUTUAHK,2016-06,18,0.2307530344
U0KUTUAHK,2016-07,49,0.1700244546
U0KUTUAHK,2016-10,45,0.4754186273
U0KUTUAHK,2016-09,65,0.30304810400000004
U0KUTUAHK,2017-05,27,0.0383616723
U0KUTUAHK,2016-11,34,0.29929640890000003
U0KUTUAHK,2017-01,47,0.1231308058
U0KUTUAHK,2016-08,45,0.3009982705
U0KUTUAHK,2017-04,33,0.0866309926
U0KUTUAHK,2017-03,38,0.0728115663
U0KUTUAHK,2017-07,4,0.2964777648
U0KUTUAHK,2016-12,67,0.1446249038
U0KUTUAHK,2017-06,31,0.2945057452
U0KUTUAHK,2017-02,54,0.41255623100000005
U0KUTUAHK,2016-05,32,0.3148845434
U0KUTUAHK,2016-04,14,0.10268633070000001
U0KUTUAHK,2016-03,3,0.9605506063
U0KUTUAHK,2016-02,1,0.3507765532
U02FVNEPL,2016-06,271,0.5783612132
U02FVNEPL,2017-05,216,0.0264616348
U02FVNEPL,2017-04,237,0.6818959117000001
U02FVNEPL,2017-03,291,0.5562129021000001
U02FVNEPL,2017-06,162,0.5647642612
U02FVNEPL,2016-05,217,0.6064639091
U02FVNEPL,2017-02,352,0.33634334800000004
U02FVNEPL,2016-10,140,0.40347647670000003
U02FVNEPL,2016-04,209,0.2332711369
U02FVNEPL,2016-12,265,0.6292173266000001
U02FVNEPL,2016-11,263,0.35228526590000003
U02FVNEPL,2016-08,346,0.39045262340000003
U02FVNEPL,2017-01,182,0.1615682393
U02FVNEPL,2016-07,253,0.28887051340000003
U02FVNEPL,2016-09,239,0.6371594071000001
U02FVNEPL,2017-07,19,0.3086018562
U02FVNEPL,2015-05,42,0.9630964994000001
U02FVNEPL,2015-03,22,0.7581565976
U02FVNEPL,2015-09,47,0.1638128459
U02FVNEPL,2015-11,74,0.38922145960000004
U02FVNEPL,2015-04,50,0.5968055725
U02FVNEPL,2015-08,65,0.8263075948
U02FVNEPL,2015-06,31,0.6410569549
U02FVNEPL,2015-10,72,0.4576889575
U02FVNEPL,2015-12,90,0.7363948822
U02FVNEPL,2015-07,24,0.3162664771
U02FVNEPL,2016-03,19,0.7969661355000001
U02FVNEPL,2014-09,51,0.264519006
U02FVNEPL,2014-08,36,0.5639905334
U02FVNEPL,2014-11,21,0.0129848802
U02FVNEPL,2014-10,7,0.4391531944
U02FVNEPL,2015-01,1,0.4299998283
U02FVNEPL,2014-12,26,0.2360854447
U02FVNEPL,2015-02,1,0.3134634495
U3FRLB925,2017-02,96,0.3567345142
U3FRLB925,2017-03,35,0.0455629528
U3FRLB925,2017-01,159,0.3123041093
U3FRLB925,2016-12,25,0.1163165644
U02FQH45F,2016-07,90,0.12857627870000002
U02FQH45F,2016-06,99,0.2693769634
U02FQH45F,2015-01,41,0.16595987980000002
U02FQH45F,2016-10,69,0.169344604
U02FQH45F,2014-10,86,0.5649716258
U02FQH45F,2015-02,20,0.184521541
U02FQH45F,2014-12,29,0.6315770745
U02FQH45F,2014-11,22,0.8015171885
U02FQH45F,2016-11,57,0.4612562656
U02FQH45F,2016-08,52,0.1896076798
U02FQH45F,2017-05,84,0.7037632465
U02FQH45F,2017-06,31,0.6487450004
U02FQH45F,2017-04,43,0.42099770900000005
U02FQH45F,2016-09,72,0.6852315068
U02FQH45F,2017-02,22,0.5360164642
U02FQH45F,2015-07,24,0.7970013022
U02FQH45F,2016-05,105,0.0506222062
U02FQH45F,2017-03,38,0.7677768469
U02FQH45F,2016-12,45,0.6167107224
U02FQH45F,2016-04,94,0.7707413435
U02FQH45F,2016-01,58,0.0384308286
U02FQH45F,2015-05,21,0.2998405695
U02FQH45F,2015-11,70,0.1773014516
U02FQH45F,2016-02,59,0.5196306109000001
U02FQH45F,2015-12,90,0.4797704816
U02FQH45F,2015-09,14,0.8863450289
U02FQH45F,2015-08,31,0.7850163579
U02FQH45F,2014-08,1,0.9483083487
U02FQH45F,2017-07,4,0.5422107577
U02FQH45F,2016-03,50,0.4390974045
U02FQH45F,2015-10,38,0.5997816324
U02FQH45F,2015-06,17,0.0873336643
U02FQH45F,2015-03,2,0.02962422
U02FQH45F,2015-04,6,0.3791667819
U1X206B34,2017-02,10,0.7497510314
U1X206B34,2017-03,8,0.657818675
U1X206B34,2016-10,24,0.9194363952
U1X206B34,2017-01,13,0.1331014782
U1X206B34,2017-04,10,0.973998189
U1X206B34,2016-09,23,0.37646526100000005
U1X206B34,2016-11,12,0.6176238656
U1X206B34,2017-05,3,0.9304717779
U1X206B34,2016-12,7,0.014802957
U1X206B34,2017-06,1,0.0098546008
U1X206B34,2016-08,2,0.9187535644
U28B024G4,2017-05,1,0.5530985594
U28B024G4,2016-11,3,0.6944321990000001
U28B024G4,2016-10,1,0.6810266376
U28B024G4,2017-01,3,0.9231491089
U40PF1R96,2017-05,5,0.653218925
U40PF1R96,2017-06,14,0.5107317567
U40PF1R96,2017-03,7,0.938949585
U40PF1R96,2017-02,15,0.6612244844
U40PF1R96,2017-04,11,0.8957565427
U40PF1R96,2017-07,2,0.3935852945
U0QSBGKQQ,2017-05,60,0.2129083276
U0QSBGKQQ,2017-06,36,0.5070561171
U0QSBGKQQ,2017-02,66,0.27760031820000003
U0QSBGKQQ,2016-09,14,0.49826529620000004
U0QSBGKQQ,2016-08,55,0.7714745402000001
U0QSBGKQQ,2017-03,69,0.043490406100000004
U0QSBGKQQ,2016-11,38,0.2542595267
U0QSBGKQQ,2016-12,45,0.1822558939
U0QSBGKQQ,2016-10,25,0.396294564
U0QSBGKQQ,2016-04,22,0.2693878114
U0QSBGKQQ,2017-01,32,0.52061373
U0QSBGKQQ,2017-04,25,0.110431239
U0QSBGKQQ,2016-07,9,0.5471204519
U0QSBGKQQ,2016-05,5,0.0450048931
U0QSBGKQQ,2016-03,6,0.6033869386
U0QSBGKQQ,2016-06,4,0.0353497528
U0QSBGKQQ,2017-07,12,0.3144452572
U0U8E0PDF,2016-06,101,0.34090638160000003
U0U8E0PDF,2016-10,111,0.7214909196
U0U8E0PDF,2017-01,66,0.1328738183
U0U8E0PDF,2016-12,45,0.8518894315000001
U0U8E0PDF,2016-07,69,0.7433710098
U0U8E0PDF,2016-08,117,0.7145454884
U0U8E0PDF,2016-11,56,0.2489880472
U0U8E0PDF,2016-09,96,0.5162571669
U0U8E0PDF,2017-02,64,0.6118870378
U0U8E0PDF,2017-03,32,0.08830439300000001
U0U8E0PDF,2017-05,21,0.7128241062
U0U8E0PDF,2017-06,68,0.4673552811
U0U8E0PDF,2016-05,87,0.3428885937
U0U8E0PDF,2017-04,17,0.0361482985
U0U8E0PDF,2017-07,53,0.8529959917000001
U0U8E0PDF,2016-04,31,0.2485969812
U03NDTJ4Y,2016-10,14,0.9324658513
U03NDTJ4Y,2016-11,14,0.32082781200000005
U03NDTJ4Y,2015-12,6,0.29115948080000004
U03NDTJ4Y,2016-09,11,0.7323441505
U03NDTJ4Y,2016-04,3,0.5099285245
U03NDTJ4Y,2015-09,9,0.2574982047
U03NDTJ4Y,2016-05,11,0.8780264258
U03NDTJ4Y,2017-02,7,0.9762588143
U03NDTJ4Y,2016-07,37,0.7763614655000001
U03NDTJ4Y,2016-03,6,0.6198208928
U03NDTJ4Y,2015-11,19,0.24321293830000001
U03NDTJ4Y,2016-08,12,0.1623615921
U03NDTJ4Y,2015-07,1,0.1187993661
U03NDTJ4Y,2016-01,4,0.1081341729
U03NDTJ4Y,2015-10,16,0.4753078818
U03NDTJ4Y,2016-06,2,0.1916995049
U03NDTJ4Y,2016-02,3,0.8670948744
U03NDTJ4Y,2015-08,2,0.44437989590000004
U03NDTJ4Y,2017-01,2,0.2175818682
U03NDTJ4Y,2015-04,1,0.5344281793
U03NDTJ4Y,2017-03,1,0.3727045953
U3LGDDLSZ,2017-03,16,0.9556493163
U3LGDDLSZ,2017-01,1,0.9884615541
U3LGDDLSZ,2017-06,58,0.3225572407
U3LGDDLSZ,2017-05,29,0.3027432263
U3LGDDLSZ,2017-02,11,0.9062277079000001
U3LGDDLSZ,2017-04,30,0.9963779449000001
U3LGDDLSZ,2017-07,5,0.8760830164000001
U1EEFPZ7B,2017-06,5,0.5048410296
U1EEFPZ7B,2017-04,2,0.7398076653
U1EEFPZ7B,2017-02,12,0.8780303001
U1EEFPZ7B,2017-05,63,0.8095859289
U1EEFPZ7B,2016-09,1,0.0742787048
U1EEFPZ7B,2016-11,19,0.0344311967
U1EEFPZ7B,2016-12,4,0.1590149254
U08FHKN06,2016-06,54,0.1469973773
U08FHKN06,2016-04,155,0.0983809531
U08FHKN06,2017-02,121,0.1358221918
U08FHKN06,2016-09,61,0.0600942709
U08FHKN06,2016-08,96,0.1456084847
U08FHKN06,2016-05,93,0.0336847529
U08FHKN06,2016-12,66,0.036834221300000004
U08FHKN06,2016-10,29,0.6438250542
U08FHKN06,2017-05,40,0.1445537508
U08FHKN06,2017-04,37,0.3608038425
U08FHKN06,2017-01,26,0.0115948096
U08FHKN06,2016-11,57,0.0761892423
U08FHKN06,2016-02,93,0.0358273946
U08FHKN06,2016-01,22,0.32637682560000003
U08FHKN06,2016-03,74,0.12734042110000002
U08FHKN06,2017-03,75,0.1039724872
U08FHKN06,2015-11,33,0.5022905469
U08FHKN06,2015-12,33,0.2426482886
U08FHKN06,2015-10,32,0.0894465446
U08FHKN06,2016-07,57,0.0956046209
U08FHKN06,2017-06,7,0.5912558436
U0KUXSH1V,2016-10,23,0.5548576713
U0KUXSH1V,2017-02,80,0.6492276192
U0KUXSH1V,2017-06,134,0.4844028354
U0KUXSH1V,2017-03,37,0.7657165527
U0KUXSH1V,2017-04,75,0.8243153095
U0KUXSH1V,2017-05,131,0.6374758482
U0KUXSH1V,2016-08,9,0.2766185701
U0KUXSH1V,2016-11,8,0.1170836464
U0KUXSH1V,2016-06,16,0.1439159065
U0KUXSH1V,2017-01,37,0.4771386087
U0KUXSH1V,2016-07,9,0.9003915787000001
U0KUXSH1V,2016-02,22,0.9960377812000001
U0KUXSH1V,2016-04,20,0.6557157636000001
U0KUXSH1V,2016-12,9,0.14898602660000002
U0KUXSH1V,2016-03,8,0.4667544067
U0KUXSH1V,2016-09,10,0.8792242408000001
U0KUXSH1V,2016-05,7,0.6904128194
U0KUXSH1V,2017-07,10,0.1771574616
U0EK9B3HT,2016-06,5,0.48417034750000004
U0EK9B3HT,2017-02,10,0.8603675961
U0EK9B3HT,2016-08,11,0.16560132800000002
U0EK9B3HT,2016-11,9,0.9816965461
U0EK9B3HT,2017-01,10,0.9785403609000001
U0EK9B3HT,2017-06,9,0.8406320214
U0EK9B3HT,2017-04,6,0.8781934977
U0EK9B3HT,2017-05,18,0.7684903145
U0EK9B3HT,2016-10,7,0.7296629548
U0EK9B3HT,2017-03,10,0.7705849409000001
U0EK9B3HT,2016-12,8,0.8581385612
U0EK9B3HT,2016-03,5,0.8171880841
U0EK9B3HT,2016-05,7,0.1433573961
U0EK9B3HT,2016-02,21,0.0608685277
U0EK9B3HT,2016-04,5,0.5799905658
U0EK9B3HT,2016-07,2,0.010665332900000001
U0EK9B3HT,2015-11,1,0.9972857833000001
U0EK9B3HT,2016-09,8,0.9861853123000001
U04FS26H7,2016-06,84,0.799295783
U04FS26H7,2016-07,152,0.9525587559
U04FS26H7,2015-07,22,0.4656688869
U04FS26H7,2016-04,159,0.7731340528
U04FS26H7,2016-03,77,0.49030685420000003
U04FS26H7,2016-08,36,0.8241201639
U04FS26H7,2016-05,85,0.7208561897
U04FS26H7,2015-11,45,0.6985824704
U04FS26H7,2015-12,34,0.5025497675
U04FS26H7,2016-01,101,0.4588558078
U04FS26H7,2016-02,93,0.8422103524000001
U04FS26H7,2015-06,25,0.8558651805
U04FS26H7,2015-08,11,0.2585466504
U04FS26H7,2015-10,22,0.9476805329
U04FS26H7,2015-09,2,0.6700135469
U02FAJCJ5,2016-06,109,0.5437700152
U02FAJCJ5,2016-09,159,0.3102441132
U02FAJCJ5,2017-01,185,0.6690422893
U02FAJCJ5,2016-10,164,0.6888898611000001
U02FAJCJ5,2015-01,4,0.2294949293
U02FAJCJ5,2016-08,136,0.7080240846
U02FAJCJ5,2017-02,171,0.2289670259
U02FAJCJ5,2017-05,115,0.7181007862000001
U02FAJCJ5,2017-06,163,0.2523263693
U02FAJCJ5,2017-03,138,0.1378079951
U02FAJCJ5,2017-04,165,0.6024435163
U02FAJCJ5,2016-11,206,0.0964496955
U02FAJCJ5,2016-04,80,0.7895866632
U02FAJCJ5,2016-12,121,0.16891372200000002
U02FAJCJ5,2017-07,62,0.1373155862
U02FAJCJ5,2016-05,55,0.2476951778
U02FAJCJ5,2016-07,108,0.31771585350000003
U02FAJCJ5,2016-03,133,0.5813176632
U02FAJCJ5,2016-02,135,0.3617926836
U02FAJCJ5,2015-06,30,0.9253179431
U02FAJCJ5,2015-10,44,0.1969604939
U02FAJCJ5,2015-08,36,0.8089120984
U02FAJCJ5,2015-12,68,0.6841849089
U02FAJCJ5,2015-11,71,0.6498554349
U02FAJCJ5,2016-01,87,0.23617970940000002
U02FAJCJ5,2015-05,24,0.7333678603
U02FAJCJ5,2015-07,38,0.7509402633000001
U02FAJCJ5,2015-09,35,0.5921415687
U02FAJCJ5,2015-02,9,0.7610495687000001
U02FAJCJ5,2015-04,25,0.3958772123
U02FAJCJ5,2015-03,8,0.6775380969
U02FAJCJ5,2014-08,4,0.8616699576
U02FAJCJ5,2014-09,4,0.4816634059
U02FAJCJ5,2014-10,2,0.8296415210000001
U02FAJCJ5,2014-11,1,0.5348647237
U02FV6WSG,2016-11,45,0.1272595525
U02FV6WSG,2016-10,8,0.0722981691
U02FV6WSG,2016-09,25,0.6636906862
U02FV6WSG,2017-05,8,0.8069710732
U02FV6WSG,2014-10,9,0.2915024161
U02FV6WSG,2015-02,14,0.0335545726
U02FV6WSG,2016-12,14,0.1664453596
U02FV6WSG,2016-08,39,0.4015822411
U02FV6WSG,2017-06,23,0.8113600612
U02FV6WSG,2015-01,26,0.0941440016
U02FV6WSG,2017-02,10,0.18894828860000001
U02FV6WSG,2017-01,12,0.035992700600000004
U02FV6WSG,2017-07,1,0.6336266398
U02FV6WSG,2016-07,14,0.1878478378
U02FV6WSG,2016-01,3,0.8420729041
